Brightness,Contrast,Mean,Variance,Skewness,Kurtosis,Entropy,Energy,Absolute Moment k=1,Absolute Moment k=2,ASM,Contrast (GLCM),IDF,Entropy (GLCM),Correlation (GLCM),Variance (GLCM),Sum Average,Sum Variance,Sum Entropy,Difference Average,Difference Variance,Difference Entropy,Information Measure I,Information Measure II,Maximal Correlation Coefficient,Short-run Emphasis,Long-run Emphasis,Gray-level Nonuniformity,Difference of Entropy,Second Largest Eigenvalue,Label,Image
146.146736,81.40980061728627,146.146736,6627.555636546303,-0.18625356190457712,-1.798750137550417,6.974621096724244,0.011097848832,146.146736,117.858576,0.0015473972739829941,223.18715827164078,0.3139814405859553,7.648047182249393,209231.11175754986,2.3378577955940157e-08,291.1358042612216,55654.450492734,4.833894280847561,9.970547231912086e-05,2.8186653364774607e-05,4.469887151249743,1.0,0.0,0.010015967484395413,1.0,0.0,5.874811842014528e-06,4.469887151249743,0.015242826122403757,Hibiscus,IMG_20241029_131633_jpg.rf.a3f2d7fa633ae0536e8817efc5f66d0b_0_Hibiscus.jpg
147.130032,67.9004492745002,147.130032,4610.471011678976,-0.39938926756419985,-1.4124322663320485,7.179110268148959,0.010069762048000001,147.130032,117.151824,0.0019473744858523356,252.78103578974532,0.3236976402655329,7.886254799858056,305280.4365161674,2.948174586166131e-08,293.28744697666167,52241.67879550331,4.9780752189866675,0.00012383759632216115,2.4023749476700987e-05,4.732864468374838,1.0,0.0,0.014951371752068515,1.0,0.0,7.453484169191933e-06,4.732864468374838,0.0202289219779696,Hibiscus,IMG_20241029_131640_jpg.rf.30a12f9b36a51bb91c441d76b42560a6_0_Hibiscus.jpg
148.789408,73.50205637265897,148.789408,5402.552291009537,-0.2621585404955083,-1.7085937382929,6.8821111173295355,0.011922400768,148.789408,114.736928,0.0019164722569000188,215.5030886598603,0.3269635430014305,7.572239876074523,266324.8901899211,2.9010215268516825e-08,296.51962065127987,54779.91143691235,4.770805548958152,0.00010401084248830159,3.120550596863992e-05,3.966378969727862,1.0,0.0,0.012128836631667231,1.0,0.0,7.3047186010503076e-06,3.966378969727862,0.01893488231565515,Hibiscus,IMG_20241029_131646_jpg.rf.c743c72ae1c3b403d163c83f6ea94688_0_Hibiscus.jpg
131.630976,76.95240574073966,131.630976,5921.672749287423,-0.136605965659638,-1.796559096561846,6.932318671089398,0.010645405184,131.630976,116.349472,0.00134656660364063,242.11561103853163,0.30091304003456393,7.68899906982413,189983.81359655783,2.0314145119905553e-08,262.09412751407234,46194.74843954128,4.808644826717565,0.00010733548211419976,2.6107158547380444e-05,4.478143441347048,1.0,0.0,0.008145029918872277,1.0,0.0,5.098440062620116e-06,4.478143441347048,0.012705906266584034,Hibiscus,IMG_20241029_131651_jpg.rf.203f579e95e3f696a7265e3e0df26e0d_0_Hibiscus.jpg
150.084368,60.22310176369676,150.084368,3626.821986040576,-0.4116017758576829,-1.39162975194021,6.861676068137952,0.013587809280000002,150.084368,116.505328,0.002347058783133151,262.95737165529584,0.30742076829517817,7.7207020917842515,404261.5590423606,3.558044424546282e-08,299.348784697021,52068.30202738667,4.761757049955135,0.00012919359100558862,3.7230515257225566e-05,4.43894509078218,1.0,0.0,0.017838421960936116,1.0,0.0,8.963162026614943e-06,4.43894509078218,0.01940235380571884,Hibiscus,IMG_20241029_131711_jpg.rf.c3aee7f34bec54a883052c43c9a62ea0_0_Hibiscus.jpg
130.02456,61.70852768302287,130.02456,3807.9423888064002,-0.27682144975065165,-1.4138342181350863,7.322546036772767,0.008243100159999999,130.02456,114.32808,0.001062127288021373,290.2132707536975,0.2612826583565846,8.232260451422318,289027.44421591365,1.5973945601789444e-08,259.2122223835099,41213.19983548653,5.07920093876359,0.0001402543119106698,1.6651753365199902e-05,4.660213861977196,1.0,0.0,0.009209528878566475,1.0,0.0,4.024284162475286e-06,4.660213861977196,0.010301508283307354,Hibiscus,IMG_20241029_131715_jpg.rf.272978cb4d7a5c02c571c44a316d09dc_0_Hibiscus.jpg
131.538928,65.75476041026091,131.538928,4323.688516610816,-0.2080097185540213,-1.6199471045694085,7.06961040420748,0.010513758720000002,131.538928,114.121264,0.0014163869319989712,262.0102095127498,0.2696132200017951,7.965145383938505,260303.25200097493,2.1379518782599964e-08,262.14943307366013,43012.23533491398,4.902607091827644,0.00012881926449207976,2.5542337488815435e-05,4.602481685175523,1.0,0.0,0.00967726326994726,1.0,0.0,5.373382052529905e-06,4.602481685175523,0.01789054388212737,Hibiscus,IMG_20241029_131719_jpg.rf.b7a600923f9ae4ff29f4bfb437e07ec1_0_Hibiscus.jpg
147.651168,60.91812456269297,147.651168,3711.017900235776,-0.2166945270925612,-1.720895157587572,6.687734455912903,0.013224274944,147.651168,119.470592,0.0038723488098010503,126.82274479443879,0.42781680218303714,7.127751673849234,382229.8251657748,5.885452302152329e-08,294.4634925243141,50787.78650344348,4.635529590474456,7.839519434099349e-05,3.643429394992543e-05,4.005298387490792,1.0,0.0,0.023225431847873422,1.0,0.0,1.4924436432768065e-05,4.005298387490792,0.022079171305712002,Hibiscus,IMG_20241029_131736_jpg.rf.8f57e391f24cc2d79242c10c099de6eb_0_Hibiscus.jpg
144.862176,59.52626429186552,144.862176,3543.376140545024,-0.1446186515440286,-1.6841000324811144,7.026918607035177,0.008932732928,144.862176,115.274944,0.001967432111459612,113.8093095272657,0.411010150375889,7.3895283451661395,385402.3330941425,2.9787800939897333e-08,288.92290446928274,48835.62608667601,4.870384468927345,7.259251811777733e-05,1.9636745442592568e-05,4.097848824166469,1.0,-1.1102230246251565e-16,0.009838550991113047,0.9999999999999999,0.0,7.54897100372859e-06,4.097848824166469,0.013432973410154751,Hibiscus,IMG_20241029_131743_jpg.rf.8d3d644258bddff63f820586de2ea460_0_Hibiscus.jpg
143.527776,59.389080852407744,143.527776,3527.062924493824,-0.1420264580942536,-1.7743348059079773,6.605357310141795,0.014462078464,143.527776,114.06352,0.004141111211776438,138.75652005612812,0.4062756471626162,7.141369374442843,380119.7939424735,6.295551182119657e-08,286.18065837647777,48009.778439057394,4.5786997262484,8.215814791860717e-05,4.1121315539971174e-05,4.011619326762235,1.0,0.0,0.021370623054466863,1.0,0.0,1.5955980887398312e-05,4.011619326762235,0.026837196922792156,Hibiscus,IMG_20241029_131756_jpg.rf.fee09cf77381a267301162e7b9f280cc_0_Hibiscus.jpg
